"client_code_client";"client_pro_part";"client_societe_nom";"client_societe_adresse";"client_societe_cp";"client_societe_ville";"client_contact_nom";"client_contact_prenom";"client_coefficient";"client_cond_paie";"client_encours";"client_observations";"client_liv_adresse";"client_liv_cp";"client_liv_ville";"client_liv_contact_nom";"client_liv_contact_tel";"client_liv_contact_mail";"client_fact_adresse";"client_fact_cp";"client_fact_ville";"client_fact_contact_nom";"client_fact_contact_tel";"client_fact_contact_mail";"commercial_code"
"1";"HUY77ORS1HF";"SOH18EHX8PL";"ZKB15GSI8VW";"0";"VOH68EFO4IC";"Henry Workman";"Branden Blankenship";NULL;NULL;NULL;NULL;"228-4584 Proin Street";"3";"IJE25UGC0LM";"Fleur Murphy";NULL;"aliquam@protonmail.couk";"684-1886 Adipiscing Street";"5";"VGT86RFC4IN";"Scarlett Goodman";NULL;"lacinia@hotmail.org";"6"
"2";"UOT48GET5AT";"VEE94WFQ0GU";"THT90TQH6LC";"2";"PER48WCO6GP";"Alana Cobb";"Candace Flores";NULL;NULL;NULL;NULL;"Ap #275-8553 Curabitur Street";"4";"UCL68YZX1SZ";"Joelle Dunlap";NULL;"at@icloud.org";"337-1089 Sed Av.";"3";"VQF23GYK6NT";"Igor Hobbs";NULL;"a.purus.duis@icloud.com";"9"
"3";"TNP77ROH9CP";"UHV18ZGP6QB";"WHR43VRY5MF";"1";"POF46OGQ6QQ";"Arsenio Durham";"Jolie Dudley";NULL;NULL;NULL;NULL;"2554 Orci St.";"1";"GEU48NST3HS";"Josiah Church";NULL;"ullamcorper.magna@icloud.edu";"Ap #633-3339 Dolor Ave";"4";"TSE82GOY6BH";"Eugenia Mercado";NULL;"id.blandit@yahoo.org";"2"
"4";"QRD46FFH9VB";"YOZ33DLD8IW";"VPB77NFO6GL";"3";"MYG18AVO1FI";"Kieran Coleman";"Sara Carey";NULL;NULL;NULL;NULL;"Ap #971-4864 At St.";"3";"USP12XBU8DJ";"Buckminster Montgomery";NULL;"ad@yahoo.net";"Ap #334-4314 Nec St.";"1";"WPU22UUP1AW";"Ulric Parsons";NULL;"eu@yahoo.couk";"8"
"5";"NHE96OAW4GI";"MUM03HIE7NJ";"HBK32JPU5PR";"0";"TMU89NVR2KX";"Damon Bryant";"Odysseus Stevenson";NULL;NULL;NULL;NULL;"3182 Nec St.";"2";"BUP54HGJ7BV";"Neil Chavez";NULL;"laoreet.lectus@yahoo.ca";"Ap #233-8573 In, Av.";"2";"RIB51MPY2EG";"Ciara Hatfield";NULL;"ultricies@icloud.org";"2"
"6";"RYH19TWI8TF";"DXL85KCZ2WS";"CHM39XNH3UX";"4";"EVL77ZZE1UX";"Philip Mcconnell";"Sonya Walsh";NULL;NULL;NULL;NULL;"6687 Sit St.";"1";"XRM42XKN8JT";"Hakeem Flowers";NULL;"mollis@hotmail.edu";"9768 Euismod Avenue";"1";"RCT62MUQ8MC";"Maggie Byers";NULL;"amet.diam.eu@icloud.org";"5"
"7";"ZSR25GBI5BQ";"GXV71PIJ7EK";"ECV89IDJ0FW";"4";"ISI36QDS1EU";"Yasir Waller";"Kasimir Conrad";NULL;NULL;NULL;NULL;"9664 Sed Av.";"3";"LYL43JNZ5NQ";"Mark Mercado";NULL;"nullam.feugiat.placerat@yahoo.com";"797-5597 Auctor St.";"5";"UKN66CTW4IF";"Galena Hester";NULL;"luctus.vulputate@hotmail.couk";"4"
"8";"SZX46VEX1MI";"YGE13GNG6BL";"DMT42YJY6JZ";"3";"PNB95PLS6WG";"Naida Caldwell";"Hu Brennan";NULL;NULL;NULL;NULL;"249-2976 Molestie Ave";"5";"MRG52QKF6RP";"Caesar Conway";NULL;"dignissim.magna@yahoo.edu";"Ap #930-9450 Mi Av.";"1";"WDP59IEG7OL";"Deacon Boyle";NULL;"ipsum.phasellus.vitae@aol.ca";"5"
"9";"FCI06MJX3FY";"GVV45CBS7FC";"JSI77YPO1QC";"0";"ESU26UPV6OA";"Brenda Duncan";"Leonard Rosa";NULL;NULL;NULL;NULL;"807-6998 Integer Rd.";"1";"DPH25POT1VM";"Ferdinand Ruiz";NULL;"quis.turpis@outlook.couk";"Ap #332-1941 Dolor Rd.";"1";"NNK55SEL3UM";"Plato Peterson";NULL;"nisi@outlook.org";"7"
"10";"SUE84GNT5OP";"ACY38GZI8FV";"SGO18WDS2KG";"3";"NMT25TFJ9LD";"Daniel Koch";"Colleen Fischer";NULL;NULL;NULL;NULL;"Ap #383-722 Aliquet. Ave";"3";"LNJ70XEJ2HG";"Marshall Christensen";NULL;"fermentum@google.net";"5846 Lectus Rd.";"5";"NMU97QMY9EC";"Jade Vinson";NULL;"cursus@yahoo.org";"8"
"11";"GTM13RRJ0OB";"HOY72MBE2HH";"IOB32BCD6MS";"2";"QYF60CHH5DH";"Guy Frye";"Todd English";NULL;NULL;NULL;NULL;"P.O. Box 705, 2630 Ornare Rd.";"2";"IYR28FIY5JH";"Moana William";NULL;"mollis.lectus.pede@outlook.edu";"Ap #317-4223 Dictum. Av.";"3";"XIM73JJV9XX";"Sonya Knox";NULL;"tincidunt.pede@google.net";"8"
"12";"HMH48EAX6JK";"TBY56UVS2EK";"KCJ58YPY6TL";"3";"PDO75PSW7GF";"Jaquelyn Hutchinson";"Hashim Morris";NULL;NULL;NULL;NULL;"171-4074 Ac Street";"2";"XDF56PTH0GY";"Noelani Tran";NULL;"massa.suspendisse@aol.ca";"P.O. Box 186, 564 Magna. Rd.";"2";"VMQ17HXE2AC";"Holmes Burch";NULL;"vitae@yahoo.couk";"9"
"13";"HWH65IPQ7BW";"HFL83EJQ3BB";"HDK63RIJ4MJ";"2";"KRD10DDM6NS";"Ingrid Simon";"Brittany Davenport";NULL;NULL;NULL;NULL;"8560 Eu St.";"3";"JSF97GEI7SJ";"Merritt O'donnell";NULL;"vulputate.dui.nec@protonmail.edu";"Ap #665-9103 Ante St.";"5";"XVJ71IIY5EW";"Graham Savage";NULL;"orci@aol.couk";"5"
"14";"RTV64JIZ6IP";"WCK52HWP5EO";"BSR81EOJ4ZQ";"0";"FWY16UVE2VW";"Audrey Wall";"Sybill Cross";NULL;NULL;NULL;NULL;"6748 Luctus Street";"3";"LCH65LIP3LT";"Faith Hamilton";NULL;"cursus.diam@aol.couk";"Ap #764-5988 Mus. Ave";"3";"EQE82QLF7MA";"Fiona Best";NULL;"luctus.lobortis.class@protonmail.edu";"4"
"15";"REX46SHP1FI";"JGW82LRW1KN";"BHI64HUE5NW";"1";"TSH48DQJ1GB";"Ursa Hopper";"Emerson Kane";NULL;NULL;NULL;NULL;"749-2611 Mauris St.";"2";"URC21GLB1QC";"Alyssa Monroe";NULL;"duis.volutpat@google.net";"987-9070 Taciti Rd.";"2";"GKT48VVY6HR";"Samson Booker";NULL;"ipsum.primis@protonmail.edu";"3"
"16";"MPC16YCL9RX";"YEJ13YUJ6TH";"FTS05PED8BA";"1";"UDQ62KBI4FQ";"Molly Watson";"Dennis Kramer";NULL;NULL;NULL;NULL;"P.O. Box 798, 5597 Egestas Avenue";"1";"KNB63CNK1MN";"Remedios Tucker";NULL;"nulla@icloud.couk";"7935 Vitae St.";"3";"XBB71JKF5ES";"Nathaniel Moore";NULL;"praesent.eu@protonmail.net";"6"
"17";"GSH81LNA4UH";"GUK17WLH2UP";"CWZ86RGP1DL";"3";"OXV25PMW1NE";"Keiko Burt";"Dexter Pate";NULL;NULL;NULL;NULL;"Ap #113-8480 Dapibus Street";"1";"SUN62OKK4OX";"Morgan Doyle";NULL;"cubilia.curae@yahoo.couk";"Ap #513-3465 Eu Avenue";"1";"TDT97MZJ6IK";"Amethyst Manning";NULL;"vitae.aliquet.nec@google.net";"9"
"18";"VIP66GPU5UB";"XGG93URL5XD";"FJG15CZR5YI";"2";"FCO28RRR7MU";"Tana England";"Lacey Knight";NULL;NULL;NULL;NULL;"9166 Quam. Road";"3";"TPP03JXF1BR";"Aiko Bennett";NULL;"cursus@outlook.ca";"496-8448 Quam, Rd.";"0";"EDT95CIZ7XM";"Ashely Harmon";NULL;"sapien.nunc.pulvinar@google.com";"7"
"19";"ZRM81LET2SU";"OMC24NEU7DX";"ZVH37RUO5XO";"3";"KMC47KTV3DH";"Imani Woodard";"Dale Durham";NULL;NULL;NULL;NULL;"637-6204 In St.";"3";"DYR28TXO2VR";"Avram Perkins";NULL;"tempor.lorem@google.couk";"P.O. Box 552, 3551 Vivamus St.";"3";"RBA55OII0GD";"Cally Wells";NULL;"dictum.phasellus@icloud.edu";"8"
"20";"GGX23XSQ8KH";"PZM00BKI2JT";"FTS60THG5FO";"4";"POQ95WNR2OV";"Kenneth Atkinson";"Rajah Fry";NULL;NULL;NULL;NULL;"Ap #166-3779 Nunc Road";"4";"GGF86HDN5JM";"Herrod Donovan";NULL;"sem@protonmail.ca";"Ap #130-2270 At, Ave";"2";"JEK38UNR2AS";"Travis Banks";NULL;"sit.amet@protonmail.ca";"3"
"21";"GHS13LAA7UK";"YMB05MVX7KF";"CND55ESS3UE";"1";"SLB39BWM4JL";"Marcia Chang";"Lenore Peterson";NULL;NULL;NULL;NULL;"Ap #722-7162 Nullam Ave";"4";"MBK54KLH1ID";"Martina Boyle";NULL;"venenatis@icloud.edu";"257-7324 Elit, Rd.";"4";"GVB12SPH1SG";"Cyrus House";NULL;"nascetur.ridiculus.mus@icloud.net";"8"
"22";"MCJ85KVJ8PM";"TZF43XUU5IO";"XEV25NCH7LX";"5";"HXG78NWK6FR";"Omar Mclaughlin";"Cassandra Snow";NULL;NULL;NULL;NULL;"P.O. Box 824, 9421 Laoreet Street";"3";"FME36LJF6PX";"Harding Dillard";NULL;"molestie@protonmail.org";"Ap #146-2220 A Av.";"1";"VXU18DNZ3FA";"Owen Barrett";NULL;"donec.elementum.lorem@outlook.com";"6"
"23";"HOI04RNL9VD";"HWJ12SVQ0MD";"MMN65HHG2SD";"3";"MJP96NBW9ES";"Iona Craig";"Cedric Steele";NULL;NULL;NULL;NULL;"Ap #349-4115 Risus Rd.";"3";"MRZ32LWR3OM";"Nissim Dotson";NULL;"ante.iaculis.nec@yahoo.net";"1134 Nonummy Road";"1";"VTF93OQG5SD";"Flynn Carey";NULL;"elementum.lorem.ut@hotmail.com";"5"
"24";"MXS59KPS4NX";"IMT62AUP5XB";"STW25SUO9MA";"1";"EFI23VHE1BZ";"Clare Justice";"Dolan Pugh";NULL;NULL;NULL;NULL;"Ap #908-8876 Diam. Rd.";"3";"LVI02DDL6LA";"Ali Richmond";NULL;"scelerisque.neque.nullam@icloud.ca";"Ap #857-5074 Et, Road";"5";"RTA03FUC2MW";"Harrison Merritt";NULL;"in.magna@google.com";"6"
"25";"UBN81CXX4TV";"CBJ09HSV6NW";"ENM36HUB7UR";"1";"ZGJ64JFL5NO";"Iona Lane";"Keelie Brady";NULL;NULL;NULL;NULL;"713-8585 Lacinia Avenue";"5";"SGT77QYG6NN";"Inga Farmer";NULL;"eu.elit@icloud.couk";"2059 Sed, St.";"2";"QHG81CQR8NV";"Wyoming Hebert";NULL;"ut.nisi.a@icloud.org";"1"
"26";"BMU68TMQ0TF";"TLS33LPV6KO";"XBO61MMR3XF";"3";"ZCO76LUJ6JG";"Yvette Benson";"Gillian Figueroa";NULL;NULL;NULL;NULL;"Ap #911-8674 Odio, Av.";"4";"RMG66TJG9HS";"Wayne James";NULL;"lorem.fringilla@google.net";"P.O. Box 812, 3289 Nulla St.";"2";"HYF83LTF7EK";"Basil Greene";NULL;"donec.porttitor@outlook.edu";"1"
"27";"GRD00KRX4TI";"EHP33OCG8FK";"VEO62EFK6KI";"1";"BXQ78PKK2UU";"Ralph Miles";"Darrel Wheeler";NULL;NULL;NULL;NULL;"269-7329 Sed Ave";"5";"QCS58KUL4OE";"Cody Stevens";NULL;"mauris@yahoo.com";"P.O. Box 434, 852 Rutrum Av.";"3";"UVX22NQU9WT";"Brady Pittman";NULL;"purus@icloud.com";"2"
"28";"HIY74WVQ2NL";"PUJ55FWC4QE";"JHP90CVQ7TT";"1";"TYV55DKR8BE";"Armando Guy";"Zephania Pickett";NULL;NULL;NULL;NULL;"P.O. Box 598, 3342 Malesuada Av.";"4";"YAJ72OYA9PJ";"Phillip Mcfadden";NULL;"suspendisse@yahoo.couk";"P.O. Box 936, 8719 Erat. Av.";"1";"OIB29AQB7BG";"Chaney Howard";NULL;"condimentum.eget@yahoo.org";"5"
"29";"PSY04NOK6FA";"IBZ06OVX2GQ";"GNT14BSS1YK";"2";"GVR33EFL4AD";"Brett Burnett";"Aretha Clements";NULL;NULL;NULL;NULL;"907-2658 Curabitur Ave";"4";"MDM18WNF6BG";"Emily Tillman";NULL;"ante.ipsum@google.edu";"830-4337 Lorem Av.";"3";"VNL40KGY5FR";"Tucker Perkins";NULL;"sed.eu.nibh@icloud.edu";"8"
"30";"XEI64EHH8DI";"ZKP97PCQ2UI";"QBT88XQS3BT";"1";"KTU72YHM3RP";"Blaze Ward";"Michael Rocha";NULL;NULL;NULL;NULL;"Ap #887-5988 In Road";"1";"POQ24YLV8IO";"Alden Sullivan";NULL;"sit.amet@icloud.couk";"219-6952 Eu Rd.";"3";"YUW41ORJ3CK";"Fatima Good";NULL;"nibh.dolor.nonummy@google.edu";"6"
"31";"LJI74RDS8UO";"MJS97BLA5MX";"QSX32ICS7IG";"5";"HMV71LZD5OJ";"Malik Hoover";"Lesley Barrett";NULL;NULL;NULL;NULL;"Ap #665-3372 Phasellus St.";"4";"EHG84QRE3KQ";"Owen Rosa";NULL;"quis.pede.suspendisse@protonmail.com";"P.O. Box 889, 2305 Mauris Rd.";"3";"BXM76ONY3XO";"Seth Patterson";NULL;"laoreet@outlook.org";"3"
"32";"LRF54WVF0QL";"BFW81XDR1BQ";"MMD53PUT7TT";"1";"KDT35ZJQ3SJ";"Emerson Beard";"MacKensie Osborn";NULL;NULL;NULL;NULL;"427-7526 Metus. Street";"3";"GRP95HAY3UC";"Bevis Joseph";NULL;"velit.eget@hotmail.org";"732-9930 Ligula. St.";"0";"AGW42MPE3UL";"Lewis Estrada";NULL;"vehicula.risus.nulla@outlook.org";"9"
"33";"FGP50AGF6XZ";"BIE25PEY5GJ";"MXF65KYO3VN";"0";"GXS57NJG1IL";"Fay Noble";"Bruce Irwin";NULL;NULL;NULL;NULL;"Ap #652-5188 Nam Avenue";"3";"NWM87ROT2RL";"Lisandra Austin";NULL;"vitae.erat@aol.net";"P.O. Box 676, 4811 Nullam St.";"4";"YMB68YVL3DT";"Buckminster Bush";NULL;"tempor@icloud.org";"3"
"34";"VHF74YXV2CU";"WJO62ICP8JM";"EJF09YKG7UC";"5";"TUV56HWZ4SK";"Rana Rodgers";"Rhea Fleming";NULL;NULL;NULL;NULL;"8182 Natoque Street";"5";"YSW46VWD1JW";"Ross Shields";NULL;"nascetur@outlook.net";"Ap #272-651 Sem St.";"4";"IQI44MLM8KE";"Reese Shields";NULL;"pede.ac@hotmail.edu";"5"
"35";"DXI98KWH5LQ";"OSD70CQB5TN";"SRM21FYJ2DY";"3";"MWQ66BBF8VC";"Felix Cash";"Zeph Stokes";NULL;NULL;NULL;NULL;"632-3523 Mauris Rd.";"1";"YRC83JIW2GC";"Nash Barker";NULL;"dignissim@google.ca";"635-2748 Tellus. Rd.";"2";"WTM24CTN6DX";"Thaddeus Schmidt";NULL;"enim.condimentum@outlook.couk";"3"
"36";"KIW78RLU6GT";"IBD63NQI8HU";"FXT62YAP2GN";"3";"AVU48JWX4ZM";"Jesse Kaufman";"Anthony Chase";NULL;NULL;NULL;NULL;"P.O. Box 978, 8063 Nunc Av.";"4";"KNK12IQG4KG";"Ramona Clemons";NULL;"et.magnis@icloud.couk";"Ap #168-8703 Morbi Road";"5";"GOY32SCJ3NR";"Ella Morrison";NULL;"hendrerit.a@yahoo.ca";"7"
"37";"RDL14SGW8BF";"IPR92CEK1US";"YQM34GZL5JN";"1";"APS44BNO2VR";"Abraham Stuart";"Minerva Munoz";NULL;NULL;NULL;NULL;"P.O. Box 467, 6976 Primis Street";"2";"CHV35XEB9CA";"Aspen Workman";NULL;"ligula.consectetuer@icloud.ca";"987-2592 Enim. St.";"1";"QBO21QBN8EM";"Adam Allen";NULL;"tellus.imperdiet@hotmail.ca";"10"
"38";"EUH81TDJ6VU";"RCP40BVI3CB";"HMS33GUG6SV";"2";"YCE81OWW7VQ";"Nero Curtis";"Galvin Wolf";NULL;NULL;NULL;NULL;"Ap #150-3764 Dui St.";"2";"FEO57DXX7JU";"Nero Tate";NULL;"condimentum.donec.at@yahoo.ca";"567-7884 Porttitor St.";"4";"HAW45VET1HS";"William Hooper";NULL;"velit.eget@outlook.net";"7"
"39";"FLW41MNP6JC";"LKR76WOH6TS";"VKL91GCN2DM";"0";"TXX86STL5JS";"Oscar Estes";"Wade Bailey";NULL;NULL;NULL;NULL;"361-9092 Metus. Street";"5";"KNT78BDO2OQ";"Hop Reese";NULL;"suspendisse.aliquet@google.com";"890-8091 Semper, Avenue";"4";"NCJ85PRT1FQ";"Brielle Chase";NULL;"et.eros@hotmail.ca";"2"
"40";"HRF46GCA9IO";"CMR49OIQ1FD";"SJN25XNV3MO";"2";"PBD03AJV4IW";"Serina Cotton";"Tanek Boone";NULL;NULL;NULL;NULL;"388-9942 Vivamus Road";"3";"QWH14RXY2SF";"Brenden Cannon";NULL;"suspendisse.ac.metus@outlook.edu";"4060 Fringilla. Av.";"0";"NWI83NXV4VQ";"Mikayla Dillon";NULL;"tempus.risus.donec@protonmail.ca";"6"
"41";"SIQ18QWB1LZ";"ESL37TMQ1VY";"WTV76GBP1JK";"4";"WVQ42GFJ2RM";"Jameson Mathews";"Kameko Singleton";NULL;NULL;NULL;NULL;"729 Semper St.";"2";"WFT83TVS8MN";"Jenette Bush";NULL;"dolor.sit.amet@aol.org";"136-895 Integer Avenue";"1";"UWK19EPR8KD";"Caldwell Hahn";NULL;"adipiscing.elit@google.com";"4"
"42";"LRX61NBV7MC";"UTX70DEG8WV";"NBY66MGD4IF";"1";"JVY83MRW7OY";"Thomas Salazar";"Iris Patel";NULL;NULL;NULL;NULL;"713-9881 Et Ave";"2";"OLA47JYN8CA";"Orlando Rivera";NULL;"imperdiet.nec.leo@aol.ca";"6547 Sociis Av.";"2";"NSQ51LIA7OB";"Holly Larson";NULL;"nam.ligula.elit@icloud.net";"6"
"43";"XPP42DSG5ZU";"QMX95ZBC7EJ";"JRK74XEK4EJ";"2";"SFG48MIG3UC";"Connor Oneal";"Dane Craig";NULL;NULL;NULL;NULL;"Ap #445-9894 Cras Rd.";"3";"FIR93HOK7DB";"Leroy Bolton";NULL;"euismod.et@yahoo.net";"138-6100 Mauris Rd.";"5";"HPT76ICU6SC";"Athena Banks";NULL;"pretium@yahoo.org";"9"
